,FILE_NAME,JOB_CLASS_TITLE,JOB_CLASS_NO,JOB_DUTIES,EDUCATION_YEARS,SCHOOL_TYPE,EDUCATION_MAJOR,EXPERIENCE_LENGTH,FULL_TIME_PART_TIME,EXP_JOB_CLASS_TITLE,COURSE_COUNT,COURSE_LENGTH,COURSE_SUBJECT,DRIVERS_LICENSE_REQ,EXAM_TYPE,ENTRY_SALARY,OPEN_DATE,REQUIREMENT_SET_TEXT
578,STAFF ASSISTANT TO GENERAL MANAGER WATER AND POWER 9185 032715.txt,STAFF ASSISTANT TO GENERAL MANAGER WATER AND POWER,9185,"A Staff Assistant to General Manager Water and Power reviews and analyzes Department expenditure programs, rates revenues, and costs; makes recommendations on the development of financial and budgetary planning and policies; advises management on financial and budgetary and personnel matters; may plan, organize and direct the work of staff engaged in such activities; and does related work.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$144,218-$179,171",03-27-15,
579,STEAM PLANT ASSISTANT 5622 051118 (1).txt,STEAM PLANT ASSISTANT,5622,"A Steam Plant Assistant assists in either operating, maintaining, or repairing steam electric generating plant equipment, including mechanical, electrical control and instrumentation, and auxiliary equipment. SPECIAL INFORMATION 1. All entry-level positions have been designated as temporary training positions in accordance with Civil Service Rule 5.30. A Steam Plant Assistant must successfully complete a four-year intensive on-the-job and classroom training program in order to receive an appointment to a regular Steam Plant Assistant position. 2. A Steam Plant Assistant receives intensive on-the-job training as well as formalized training outside of working hours. 3. A Steam Plant Assistant is subject to working nights, holidays and weekends on a rotating shift basis at various work locations throughout the City's power system. 4. The relaying of instructions and complex technological information over the telephone and in person, in normal situations and under emergency conditions, requires that candidates be able to communicate orally in English in a clear and understandable manner. 5. See the corresponding ""Job Preview"" for additional information regarding the duties of a Steam Plant Assistant in a trainee and/or regular position. The Job Preview is available on-line at http://per.lacity.org/exams/5622preview.pdf.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$60,405-$75,042",05-11-18,
580,STEAM PLANT MAINTENANCE MECHANIC 5630 0902116.txt,STEAM PLANT MAINTENANCE MECHANIC,5630,"A Steam Plant Maintenance Mechanic repairs, overhauls, and maintains high pressure, high temperature boilers, heat recovery steam generators (HRSG), steam turbines, gas turbines, and auxiliary equipment found in a large steam electric generating station.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$97,092 (flat-rated)",09-02-16,
581,STEAM PLANT MAINTENANCE SUPERVISOR 3786 033117.txt,STEAM PLANT MAINTENANCE SUPERVISOR,3786,"A Steam Plant Maintenance Supervisor assigns, reviews, and evaluates the work of a crew of journey-level employees and helpers engaged in the maintenance and repair of the electrical and mechanical equipment and the buildings of a steam-electric generating station and related facilities; or supervises several supervisors and their crews doing this type of work in a maintenance section; applies sound supervisory principles and techniques, including equal employment opportunity responsibilities, in building and maintaining an effective workforce.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$115,570-$122,022",03-31-17,
582,STEAM PLANT OPERATOR 5624 101416.txt,STEAM PLANT OPERATOR,5624,"A Steam Plant Operator oversees and participates in the operations of electric-generating equipment from remote control boards and from actual equipment locations including turbines, generators, high-pressure boilers, auxiliary equipment, and electrical switching facilities.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL,"$92,665 (flat-rated)",10-14-16,
583,STOREKEEPER 1835 051118.txt,STOREKEEPER,1835,"A Storekeeper assigns, reviews and evaluates the work of a small group of employees engaged in ordering, receiving, inspecting, storing, issuing, securing and accounting for materials, supplies, automotive parts, records, tools and equipment and performs related minor repair and assembly work; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$45,309-$66,231",05-11-18,
584,STORES SUPERVISOR 1866 122917.txt,STORES SUPERVISOR,1866,"A Stores Supervisor plans, organizes and directs the work of employees engaged in stores or warehouse management activities within a major warehousing operation, commodity based stores group, or in supply and procurement activities within a large department; develops, maintains, reviews and applies standards and procedures for interdepartmental stores systems; develops and monitors budget expenditures; does material planning; is involved with the implementation of applicable warehouse technology; ensures proper employee training; oversees compliance with purchasing related requirements and delegated procurement authorizations; implements policy and procedural changes and ensures compliance; is responsible for inventory control for a specific group of stores; and applies sound supervisory principles and techniques in building and maintaining an effective work force while fulfilling equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$84,376-$120,039",12-29-17,
585,STREET LIGHTING CONSTRUCTION AND MAINTENANCE SUPERINTENDENT 3820 051818.txt,STREET LIGHTING CONSTRUCTION AND MAINTENANCE SUPERINTENDENT,3820,"Oversees a major division of the Bureau of Street Lighting that is responsible for the implementation of the Light-Emitting Diode (LED) conversion program, the systems conversion program, new construction projects and the maintenance and repair of the entire City's street lighting system.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$91,558-$133,882",05-18-18,
586,STREET LIGHTING ELECTRICIAN  3811 022318.txt,STREET LIGHTING ELECTRICIAN,3811,A Street Lighting Electrician acts as a lead for and works with a crew of workers engaged in the construction and repair of electrolier street lighting systems.,,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$90,645 (flat-rated)",02-23-18,
587,STREET LIGHTING ELECTRICIAN SUPERVISOR 3840 031717.txt,STREET LIGHTING ELECTRICIAN SUPERVISOR,3840,"A Street Lighting Electrician Supervisor plans, organizes and directs the work of street lighting employees engaged in various activities of the Field Operations Division of the Bureau of Street Lighting, including construction, repair, yard, shop, and warehouse activities; or supervises several crews engaged in construction and repair of the street lighting systems in a major geographical area of the City; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$99,347 (flat-rated)",03-17-17,
588,STREET LIGHTING ENGINEER 7537 052617 (4).txt,STREET LIGHTING ENGINEER,7537,"A Street Lighting Engineer plans, organizes and directs the work of engineering and technical employees in a major division responsible for the preparation of reports, plans and cost estimates, and the performance of testing related to a variety of municipal street lighting projects; may represent the Bureau before the City Council, various City commissions and community groups; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$89,637-$127,555",05-26-17,
589,STREET LIGHTING ENGINEERING ASSOCIATE 7527 101102 REV 032916.txt,CAMPUS INTERVIEWS ONLY,7527,"A Street Lighting Engineering Associate performs professional engineering work in the preparation of plans, specifications, cost analysis, construction cost estimates and testing related to the construction, reconstruction, operation and repair of a variety of municipal street lighting projects; and does related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$64,916-$92,394",10-11-02,
590,STREET SERVICES GENERAL SUPERINTENDENT 4160 042916.txt,STREET SERVICES GENERAL SUPERINTENDENT,4160,"A Street Services General Superintendent directs or assists in directing the activities of various divisions within the Bureau of Street Services including Cleaning and Maintenance, Methods and Standards, Resurfacing and Reconstruction, or Special Projects Construction.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$103,356-$147,078",04-29-16,
591,STREET SERVICES INVESTIGATOR 4283 102315 REV 110315.txt,STREET SERVICES INVESTIGATOR,4283,"A Street Services Investigator conducts inspections, investigations, enforces laws and regulations pertaining to the use and safe condition of City streets, sidewalks and other public ways; may be required as a public officer to make arrests for violations of related provisions of the Los Angeles Municipal Code; keeps records which may be used as legal evidence; may appear in court as a witness; investigates accidents, third party personal injury, and property damage claims involving the Bureau of Street Services; and is subject to work various shifts and locations.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$62,347-$77,464",10-23-15,
592,STREET SERVICES SUPERINTENDENT 4158 101918.txt,STREET SERVICES SUPERINTENDENT,4158,A Street Services Superintendent directs or assists in directing general or specialized street maintenance activities such as resurfacing or pavement preservation for a large geographical area; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$85,816-$125,447",10-19-18,
593,STREET SERVICES SUPERVISOR 4152 082815.txt,STREET SERVICES SUPERVISOR,4152,"A Street Services Supervisor assigns, reviews, and evaluates the work of one or more crews engaged in repairing, patching, cleaning, remodeling, resurfacing, or reconstructing City streets; and/or slurry seal and Portland Cement Concrete construction, or assists in coordinating the work of street resurfacing crews; or scheduling and dispatching transportation of materials and plant mixes, construction materials and debris transfer equipment; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$71,409-$88,719",08-28-2015,
594,STREET SERVICES WORKER 4150 032318.txt,STREET SERVICES WORKER,4150,A Street Services Worker rakes hot mix asphalt to grade with an asphalt lute behind a paving machine; may shovel or spread hot asphalt materials to meet grade of existing structures in preparation for breakdown and intermediate rolling operations; operates screed controls of asphalt paving machine or may be assigned to slurry crew; makes small asphalt repairs (SAR) to roadway; may maintain paperwork; assists equipment operator to hand load debris; cleans job-site; places warning devices for traffic control set-up and may be assigned to other duties related to various street repair operations.,,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$41,760-$61,053",03-23-18,
595,STREET TREE SUPERINTENDENT 3160 060917.txt,STREET TREE SUPERINTENDENT,3160,"A Street Tree Superintendent directs division activities involved in the maintenance, planting, and removal of trees along City streets and the improvement and maintenance of landscaped traffic islands and parkways; or, in pruning trees to clear electrical conductors, construction, and equipment.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$81,828-$119,684",06-09-17,
596,STRUCTURAL ENGINEER 7956 101918.txt,STRUCTURAL ENGINEER,7956,"A Structural Engineer performs professional engineering work in supervising an engineering group engaged in checking structural plans for conformance to building and zoning code regulations; closely overseeing or personally checking plans for the more complex and high rise structures; preparing or overseeing plans, designs, and specifications for a variety of structures; makes special structural engineering studies; provides structural engineering support during construction, including structural observations; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$94,857-$138,643",10-19-18,
597,STRUCTURAL ENGINEERING ASSOCIATE 7957 061617.txt,STRUCTURAL ENGINEERING ASSOCIATE,7957,"A Structural Engineering Associate performs professional structural engineering work in the preparation or checking of designs, plans, specifications, estimates, and reports for a variety of structures; and does related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$66,231-$94,252",06-16-17,
598,STRUCTURAL STEEL FABRICATOR 3793 122316.txt,STRUCTURAL STEEL FABRICATOR,3793,"A Structural Steel Fabricator works from structural blueprints or sketches and does skilled work in the fabrication, repair, alteration, and assembly of structural steel members and shapes; and performs related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$95,191 (flat-rated)",12-23-16,
599,STRUCTURAL STEEL FABRICATOR SUPERVISOR 3794 060217.txt,STRUCTURAL STEEL FABRICATOR SUPERVISOR,3794,"A Structural Steel Fabricator Supervisor assigns, reviews and evaluates the work of a group of employees engaged in rigging and the fabrication, repair, alteration, and assembly of structural steel members and shapes; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$102,959-$108,701",06-02-17,
600,SUPERINTENDENT OF RECREATION AND PARKS OPERATIONS 2472 012618.txt,SUPERINTENDENT OF RECREATION AND PARKS OPERATIONS ,2472,"A Superintendent of Recreation and Parks Operations, through subordinate supervisors, plans, organizes, and directs recreation programming, park maintenance activities, and facility repair functions of a geographic region in the Department of Recreation and Parks and one or more Citywide functions which include forestry, childcare, senior citizens programming, aquatics, municipal sports, and camps; manages, prepares, and monitors budgets; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills Equal Employment Opportunity responsibilities; may act on behalf of an Assistant General Manager; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$123,066-$179,943",01-26-18,
601,SUPERVISING CRIMINALIST 2235 030416.txt,SUPERVISING CRIMINALIST,2235,"A Supervising Criminalist supervises, assigns and evaluates the work of Criminalists engaged in searching for, collecting and preserving physical evidence in the investigation of crimes and suspected criminals, examining evidence by means of physical and chemical analysis, giving expert testimony in court; personally performs the more difficult assignments; applies sound supervisory principles and techniques in building and maintaining an effective workforce; and fulfills equal employment opportunity and employee relations responsibilities. A Supervising Criminalist is subject to call at any hour, 7-days a week and may work under unpleasant and adverse conditions, including high places, dangerous locations, and in proximity to dead bodies and biological and chemical hazards, in order to investigate crime scenes.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$95,672-$136,138",03-04-16,
602,SUPERVISING OCCUPATIONAL HEALTH  2315 111414.txt,SUPERVISING OCCUPATIONAL HEALTH NURSE     Class Code:       2315,2315,"A Supervising Occupational Health Nurse assigns, reviews and evaluates the work of Occupational Health Nurses, Medical Technicians and other employees engaged in all aspects of occupational health; assists in planning and implementing occupational health programs; monitors work processes and makes changes based on quality service reviews; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$65,417-$81,285",11-14-14,
603,SUPERVISING TRANSPORTATION PLANNER 2481 072216.txt,SUPERVISING TRANSPORTATION PLANNER,2481,A Supervising Transportation Planner supervises employees in the Departments of Transportation and Airports engaged in various transportation planning activities including developing and managing contracted City public transit services and transportation programs; researches and analyzes transportation issues relating to comprehensive land use and transportation planning and policy; researches transportation funding; partners with other agencies and stakeholders on transportation matters; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$88,114-$128,809",07-22-16,
604,SUPERVISING WATER SERVICE REPRESENTATIVE 1697 081318.txt,SUPERVISING WATER SERVICE REPRESENTATIVE,1697,"A Supervising Water Service Representative manages, supervises subordinate employees, or provides staff support in the making of business arrangements to furnish water services or in conducting cross-connection inspections; interprets or supervises the interpretation of Water System Rules and Rates; supervises or handles arrangements for more complex installations or handles complex cross-connection investigations with the LA County Department of Public Health; and enforces Water Services Organization policies on the protection of the City's water supply.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$76,734-$95,317",08-03-18,
605,SUPPLY SERVICES MANAGER 1865 092818.txt,SUPPLY SERVICES MANAGER,1865,"A Supply Services Manager plans, organizes and directs the work of either a centralized City commodity store, or purchasing or materials management activities in a City department; may plan, organize and direct the City's centralized purchasing, materials management, and related distribution activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$102,353-$149,667",09-28-18,
606,SUPPLY SERVICES PAYMENT CLERK 1214 031017-.txt,SUPPLY SERVICES PAYMENT CLERK,1214,"A Supply Services Payment Clerk performs difficult and responsible accounts payable work by reviewing and validating vendor invoices and other payment documentation, utilizing the City's procurement system; performs general accounting practices; prepares verbal and written communications; deals tactfully and effectively with vendors, supervisors and City employees; records maintenance activities; maintains various accounting reports and files; may act as a lead in the performance of such work; and does related work.",,,,,,,,,,,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$50,654-$72,098",03-10-17,
607,SURVEY PARTY CHIEF 7286 093016.txt,SURVEY PARTY CHIEF  ,7286,"A Survey Party Chief assigns, reviews, and evaluates the work of Land Surveying Assistants and Field Engineering Aides in survey parties engaged in making preliminary, construction, property, topographic, hydrographic, photogrammetric, global positioning system, and geodetic surveys and in keeping notes and records of such surveys; may perform global positioning system and/or geodetic calculations in the office, and research survey data from record sources and other survey calculations; interprets and writes legal descriptions and applies sound boundary control principles; applies sound supervisory principles and techniques in building and maintaining a safe and effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$72,621-$106,175",09-30-16,
608,SURVEY SUPERVISOR 7287 110918.txt,SURVEY SUPERVISOR,7287,"A Survey Supervisor plans, organizes and directs the work of several survey parties and office assistants engaged in preliminary, property, construction, topographic, geodetic, and hydrographic surveys; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$91,496-$133,716",11-09-18,
609,SYSTEMS AIDE 1599 070116.txt,SYSTEMS AIDE,1599,"A Systems Aide performs various paraprofessional duties in assisting professional systems staff in the analysis, implementation, support and maintenance of procedures, methods and operations of computer-based information systems.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$49,841-$61,930",07-01-16,
610,SYSTEMS ANALYST 1596 102717.txt,SYSTEMS ANALYST,1596,"A Systems Analyst analyzes procedures, methods and operations of computer-based information systems; designs, implements, and recommends information systems to improve the efficiency and economy of City operations; performs cost benefit and feasibility analyses related to the modification of existing computer-based information systems, the maintenance and support of information systems, or the implementation of new computer-based systems; accesses and analyzes information from automated files using high-level retrieval languages.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$68,611-$100,307",10-27-17,
611,SYSTEMS PROGRAMMER 1455 091616 REV 100416.txt,SYSTEMS PROGRAMMER           ,1455,"A Systems Programmer evaluates, develops, maintains, implements, and modifies operating systems, hardware, middleware, software, storage, and networking in a business applications environment; performs hardware-software studies; designs and implements systems architecture; analyzes systems problems and optimizes systems performance; performs systems upgrades; follows Information Technology Infrastructure Library (ITIL) and security best practices for incident, change and release management, and all aspects of network and server operations; provides technical assistance to other data processing personnel and user divisions or departments; may supervise and direct the work of employees engaged in such activities; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$89,575-$130,980",09-16-16,
612,TAX AUDITOR 1514 062218.txt,TAX AUDITOR,1514,"A Tax Auditor conducts or reviews field or office audits of accounting and related records of persons, businesses, and organizations to determine the accuracy of self-assessed tax payments to the City of Los Angeles; and performs internal audits of operations related to business tax and permit enforcement, audit, and administration.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$59,361-$86,819",06-22-18,
613,TAX COMPLIANCE AIDE 1173 061215 (1).txt,TAX COMPLIANCE AIDE	,1173,"A Tax Compliance Aide performs paraprofessional duties in assisting professional tax compliance staff in the analysis, interpretation and enforcement of various tax, permit and fee liabilities, including the City's business, utility, parking, and transient occupancy taxes and City permit ordinances through independent office and field investigations; may apply complex formulas and legal precedents; and applies processes necessary to collect taxes and fees due to the City; may assist in the preparation of various reports, including recommendations for criminal prosecution; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$45,956-$67,191",06-12-15,
614,TAX COMPLIANCE OFFICER 1179 111816.txt,TAX COMPLIANCE OFFICER,1179,"A Tax Compliance Officer analyzes, interprets and enforces various tax, permit and fee liabilities, including the City business, parking and transient occupancy taxes and City permit ordinances through independent field and office investigations; may supervise other Tax Compliance Officers and clerical staff by directing and coordinating the activities of a field enforcement or office enforcement section; and may assist at a public counter or the call center providing technical assistance to customers via telephone, on-line and in-person.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$55,874-$81,703",11-18-16,
615,TELECOMMUNICATIONS PLANNING AND UTILIZATION OFFICER 7640 122217.txt,TELECOMMUNICATIONS PLANNING AND UTILIZATION OFFICER,7640,A Telecommunications Planning and Utilization Officer directs telecommunications activities in the Department of Airports or the Information Technology Agency; coordinates the development of plans; directs the implementation and management of telecommunications systems and municipal uses of cable television; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.,,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$99,618-$141,775",12-22-17,
616,TILE SETTER 3493 090415.txt,Tile Setter,3493,"A Tile Setter does skilled work in applying tiles to walls, floors, ceilings, and other surfaces according to specified designs.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$83,290 (flat-rated)",09-04-15,
617,TIRE REPAIRER 3727 091517 (1).txt,TIRE REPAIRER,3727,"A Tire Repairer inspects and determines whether transportation and construction equipment tires should continue in service, be repaired, discarded or returned to the manufacturer; services, removes and installs tires and tubes; balances and inspects wheels; performs skilled work in the sectional repair of tires or recapping of tires, and repair of tubes; and responds to emergency road service requests and other tire related work.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$50,279-$60,823",09-15-17,
618,TITLE EXAMINER 1943 032318 REV 040518.txt,TITLE EXAMINER,1943,A Title Examiner searches and examines public and title company records to determine ownership and interests in real property and prepares abstracts and reports.,,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$56,793-$80,826",03-23-18,
619,TRAFFIC MARKING AND SIGN SUPERINTENDENT 3430 032219.txt,TRAFFIC MARKING AND SIGN SUPERINTENDENT,3430,"A Traffic Marking and Sign Superintendent assigns, reviews, evaluates, plans, organizes and directs the work of employees in the Field Operations and Maintenance Division in the Department of Transportation, engaged in painting, plasticizing, maintaining, installing, or removing traffic and parking control markings on streets and curbs or installing, maintaining, or removing traffic and parking control signs; applies sound supervisory principles and techniques in building and maintaining an effective work force; fulfills equal employment opportunity responsibilities; and does related work.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$56,835-$83,144",03-22-19,
620,TRAFFIC OFFICER 3214 040116.txt,TRAFFIC OFFICER,3214,"A Traffic Officer patrols an assigned area on foot, bicycle, or in a vehicle to enforce motor vehicle parking regulations; issues warnings or citations for illegal parking by entering information into a hand-held computer; impounds vehicles; and directs vehicular and pedestrian traffic at a specific intersection or other specified location. Traffic Officers at the highest pay grade will be expected to direct vehicular and pedestrian traffic on a daily basis at various assigned locations. They may provide the initial field training to new Traffic Officers on a temporary short-term basis, and may serve as acting, on-site supervisors on a temporary short-term basis. Traffic Officers may be assigned to work any work shift, including weekends and holidays, and may be assigned to work in any geographic location in the City of Los Angeles. Work must be performed outdoors in all weather conditions. Work shifts may also be extended in emergency situations.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$45,017-$48,838",04-01-16,
621,TRAFFIC PAINTER AND SIGN POSTER 3421 033117.txt,TRAFFIC PAINTER AND SIGN POSTER,3421,"A Traffic Painter and Sign Poster paints and plasticizes parking and traffic control markings on streets and curbs, parking lots, and airfield areas; and installs and maintains non-electric parking and traffic control signs.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$44,578-$63,412",03-31-17,
622,TRANSMISSION AND DISTRIBUTION DISTRICT SUPERVISOR 3875 050418 REV 051718.txt,TRANSMISSION AND DISTRIBUTION DISTRICT SUPERVISOR  ,3875,"A Transmission and Distribution District Supervisor plans, organizes, and directs or assists in directing technical employees in the construction and maintenance (including splicing energized power cables) of overhead power lines and underground power cables in a combined overhead and underground district; or directs, or assists in directing, the operations of a specialized function such as electric trouble, pole spotting, streetlight patrol and maintenance, and transmission patrol and maintenance; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,Required,INTERDEPARTMENTAL PROMOTIONAL,"$127,200-$158,061",05-04-18,
623,TRANSPORTATION ENGINEER 7278 092917.txt,TRANSPORTATION ENGINEER,7278,"A Transportation Engineer performs responsible transportation engineering work in making engineering studies and preparing or supervising the preparation of designs, plans, specifications, estimates, and reports; in supervising the collection of field data in connection with a variety of transportation, traffic safety, and parking projects; in communicating effectively with the public, elected officials, and other agencies; applies sound supervisory principles and techniques in building and maintaining an effective work force; and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$89,637-$127,555",09-29-17,
624,TRANSPORTATION ENGINEERING AIDE 7285 100915.txt,TRANSPORTATION ENGINEERING AIDE,7285,A Transportation Engineering Aide performs moderately difficult sub-professional traffic engineering work associated with making studies and analyses of traffic control and parking problems; inspects work by traffic crews which are installing or modifying traffic control devices; and may supervise employees engaged in such activities.,,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$49,255-$72,036",10-09-15,
625,TRANSPORTATION ENGINEERING ASSOCIATE 7280 072415.txt,TRANSPORTATION ENGINEERING ASSOCIATE             ,7280,"A Transportation Engineering Associate performs professional engineering work in investigating and analyzing street traffic conditions to determine the need for traffic control measures; reviews street improvement plans to determine the need for traffic control devices; prepares plans, specifications and estimates for installation of traffic signal systems and channelization; prepares planning and research studies to look at existing and proposed traffic control measures and methodologies with the assistance of Computer-Aided Design (CAD), Geographic Information Systems, modeling software and project management programs; and does related work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$68,549-$85,149",07-24-15,
626,TRANSPORTATION INVESTIGATOR 4271 061016.txt,TRANSPORTATION INVESTIGATOR,4271,"A Transportation Investigator makes investigations which may include the inspection of vehicles and other operating property, the interviewing of witnesses, complainants, or company personnel; makes arrests when essential to enforcement; processes permit applications; conducts administrative disciplinary hearings for drivers cited for violations; issues citations or hearing notices; and collects fees in enforcing public utility regulations or franchise provisions for the City of Los Angeles. An employee in this class may be required to work various hours, shifts, and locations.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL,"$55,019-$80,472",06-10-16,
627,TRANSPORTATION PLANNING ASSOCIATE 2480 072018.txt,TRANSPORTATION PLANNING ASSOCIATE,2480,"A Transportation Planning Associate does professional work in administering transit operations and contracts, approving transportation demand management plans, analyzing and recommending transportation system or airport facility improvements, and coordinating transportation planning efforts with Federal, State and local agencies.",,,,,,,,,,May-Required,INTERDEPARTMENTAL PROMOTIONAL AND AN OPEN COMPETITIVE BASIS,"$63,078 (flat-rated)",07-20-18,
628,TREASURY ACCOUNTANT 1609 102816.txt,TREASURY ACCOUNTANT,1609,"A Treasury Accountant performs professional treasury/banking accounting work in the analysis, preparation, maintenance, or evaluation of financial reports, account reconciliation, debt management, investment accounting, and general accounting of City treasury funds, and commercial, custodial and merchant accounts, within the Office of Finance and may act as a lead in the performance of such work.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$59,904-$87,591",10-28-16,
629,TREE SURGEON 3114 081916 REV 080818.txt,TREE SURGEON,3114,"A Tree Surgeon climbs, prunes, trims, treats, sprays, plants, fertilizes, transplants and removes trees along City streets and highways, in City parks, over or on private property, and on public grounds to eliminate hazardous conditions; prevent interference with traffic, traffic signals and high and low voltage conductors and equipment; and to preserve and maintain the trees.",,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$47,898-$70,052",08-19-16,
630,TREE SURGEON ASSISTANT 3151 060316.txt,TREE SURGEON ASSISTANT,3151,A Tree Surgeon Assistant assists in tree trimming and removal work and performs a variety of skilled and unskilled tasks on the ground and in the trees.,,,,,,,,,,Required,OPEN COMPETITIVE BASIS,"$36,728-$52,242",06-03-16,
631,TREE SURGEON SUPERVISOR 3117 030317.txt,TREE SURGEON SUPERVISOR,3117,"A Tree Surgeon Supervisor assigns, reviews and evaluates the work of a number of small crews or supervises a crew engaged in tree trimming activities for a department or in an area of the City; or assists a Street Tree Superintendent by directing and coordinating street tree trimming activities in a major section of the City; or inspects trees to ensure street trees are trimmed in compliance with Los Angeles Municipal Code requirements; or inspects overhead electrical facilities and lines to determine tree interference and prepares the related reports; applies sound supervisory principles and techniques in building and maintaining an effective work force and fulfills equal employment opportunity responsibilities.",,,,,,,,,,May-Required,OPEN COMPETITIVE BASIS,"$59,215-$84,250",03-03-17,
